City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,San Andres,CO,12.5847,-81.7006,78.8,83,40,6.91,scattered clouds
196,Lusambo,CD,-4.9667,23.45,87.03,54,36,3.31,light rain
197,Carutapera,BR,-1.195,-46.02,86.92,60,96,10.16,overcast clouds
198,Muzhi,RU,65.3667,64.6667,-41.03,80,16,3.76,few clouds
199,Purpe,RU,64.4803,76.6897,-48.28,76,43,10.51,scattered clouds
200,Hualmay,PE,-11.0964,-77.6139,74.21,70,47,8.12,scattered clouds
201,Faanui,PF,-16.4833,-151.75,80.42,71,5,11.48,clear sky
202,Dubbo,AU,-32.25,148.6167,73.4,60,0,4.61,clear sky
203,Mocuba,MZ,-16.8392,36.9856,74.41,93,100,8.57,moderate rain
204,Malakal,SS,9.5334,31.6605,93.43,21,72,5.39,broken clouds
205,Orocue,CO,4.7912,-71.3354,88.02,48,53,11.12,broken clouds
206,Emerald,AU,-23.5333,148.1667,77.0,61,69,6.91,broken clouds
207,Usinsk,RU,65.9939,57.5281,-23.37,86,93,4.54,overcast clouds
208,Hami,CN,42.8,93.45,21.92,77,0,2.86,clear sky
209,Barao De Melgaco,BR,-16.1944,-55.9675,80.6,78,75,6.91,light rain
210,Sayat,TM,38.7839,63.8803,28.4,74,0,4.61,clear sky
211,Panaba,MX,21.2833,-88.2667,73.38,77,0,5.14,clear sky
212,Yuanping,CN,38.7153,112.7575,28.47,82,86,1.48,overcast clouds
213,Mwense,ZM,-10.3845,28.698,76.37,77,25,4.27,scattered clouds
214,Mombetsu,JP,44.3525,143.3525,19.0,68,79,13.0,broken clouds
215,Barentu,ER,15.1139,37.5928,83.95,33,0,14.97,clear sky
216,Lebu,CL,-37.6167,-73.65,65.48,72,1,20.8,clear sky
217,Ust-Kuyga,RU,70.0167,135.6,-38.33,80,1,3.4,clear sky
218,Zamboanga,PH,6.9103,122.0739,78.51,80,97,0.69,overcast clouds
219,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,73,75,10.36,broken clouds
220,Port Hardy,CA,50.6996,-127.4199,33.8,93,90,2.3,overcast clouds
221,Okha,RU,53.5739,142.9478,-11.07,88,100,15.03,overcast clouds
222,Tiksi,RU,71.6872,128.8694,-35.21,81,100,12.86,overcast clouds
223,Listvyanskiy,RU,54.4399,83.4984,-11.09,89,100,6.2,overcast clouds
224,Jalor,IN,25.35,72.6167,64.04,45,0,7.05,clear sky
225,Jiayuguan,CN,39.8167,98.3,27.61,70,0,3.89,clear sky
226,Naliya,IN,23.2667,68.8333,67.51,91,0,8.34,clear sky
227,Tessalit,ML,20.1986,1.0114,82.22,10,0,11.23,clear sky
228,Bajil,YE,15.0584,43.2851,81.14,50,95,11.74,overcast clouds
229,Vila Velha,BR,-20.3297,-40.2925,84.99,74,75,6.91,broken clouds
230,Aklavik,CA,68.2191,-135.0107,-0.4,85,90,9.22,overcast clouds
231,Siderno,IT,38.2779,16.302,62.6,67,29,12.66,scattered clouds
232,Kapit,MY,2.0167,112.9333,74.28,94,99,1.12,overcast clouds
233,Malpe,IN,13.35,74.7167,80.6,78,1,6.91,clear sky
234,Providencia,MX,28.7167,-111.5833,53.6,94,1,2.3,clear sky
235,Tocopilla,CL,-22.092,-70.1979,74.14,56,11,8.37,few clouds
236,Awjilah,LY,29.1081,21.2869,61.21,31,0,6.64,clear sky
237,Srednekolymsk,RU,67.45,153.6833,-44.01,80,89,2.42,overcast clouds
238,Vestmanna,FO,62.1564,-7.1664,33.8,75,40,14.97,light snow
239,Hervey Bay,AU,-25.2986,152.8535,70.0,79,42,1.01,scattered clouds
240,Bairiki,KI,1.3292,172.9752,77.0,88,75,6.91,broken clouds
241,Ternate,ID,0.8,127.4,81.93,76,86,5.23,light rain
242,Jinchang,CN,38.4953,102.1739,31.55,64,0,3.6,clear sky
243,Norman Wells,CA,65.282,-126.8329,1.4,78,90,10.36,light snow
244,Yumen,CN,40.2833,97.2,27.07,72,0,1.39,clear sky
245,Chalus,IR,36.655,51.4204,44.6,65,20,2.3,few clouds
246,Kruisfontein,ZA,-34.0033,24.7314,79.0,66,0,15.1,clear sky
247,Taga,RO,46.95,24.05,43.0,75,0,3.44,clear sky
248,Bambous Virieux,MU,-20.3428,57.7575,84.2,70,40,5.75,scattered clouds
249,Anadyr,RU,64.75,177.4833,0.0,85,75,2.24,light snow
250,Sladkovo,RU,55.5284,70.3385,-13.0,90,92,5.48,overcast clouds
251,Staraya Poltavka,RU,50.4772,46.4814,32.09,97,99,10.07,overcast clouds
252,Patterson,US,37.4716,-121.1297,45.0,81,90,3.44,light rain
253,Deputatskiy,RU,69.3,139.9,-39.53,82,4,1.23,clear sky
254,Beihai,CN,21.4833,109.1,66.65,71,0,8.68,clear sky
255,Asheville,US,35.6009,-82.554,42.01,75,1,6.91,clear sky
256,Eydhafushi,MV,5.1033,73.0708,82.53,75,82,8.99,broken clouds
257,Hobyo,SO,5.3505,48.5268,78.82,76,97,21.23,overcast clouds
258,Tiznit,MA,29.5833,-9.5,64.31,59,0,9.55,clear sky
259,Saint Joseph,US,39.7686,-94.8466,26.01,58,75,14.97,broken clouds
260,Lisakovsk,KZ,52.5369,62.4936,8.11,95,100,11.01,light snow
261,Chulman,RU,56.8479,124.9104,-35.16,81,26,2.15,scattered clouds
262,Kilrush,IE,52.6397,-9.4833,39.2,81,75,13.8,broken clouds
263,Maniitsoq,GL,65.4167,-52.9,21.79,79,0,5.79,clear sky
264,Carndonagh,IE,55.25,-7.2667,39.2,93,40,8.05,light rain
265,Rockport,US,28.0206,-97.0544,63.0,94,75,3.44,mist
266,Cordoba,AR,-31.4135,-64.1811,89.01,50,40,6.91,scattered clouds
267,Upernavik,GL,72.7868,-56.1549,18.37,87,32,6.87,scattered clouds
