City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Lebu,CL,2021-01-19 17:46:59,-37.6167,-73.65,65.28,67,0,20.83
181,Sivaki,RU,2021-01-19 17:46:59,52.6333,126.75,-20.96,87,59,6.96
182,San Cristobal,VE,2021-01-19 17:46:59,7.7669,-72.225,86.0,54,40,8.05
183,Colquiri,BO,2021-01-19 17:46:59,-17.4167,-67.1333,60.8,44,40,8.61
184,Hildburghausen,DE,2021-01-19 17:46:59,50.4255,10.7318,37.99,86,100,12.5
185,Marabba,SD,2021-01-19 17:46:59,12.35,32.1833,77.02,18,63,15.03
186,Juneau,US,2021-01-19 17:46:59,58.3019,-134.4197,35.6,87,75,3.44
187,Broken Hill,AU,2021-01-19 17:46:59,-31.95,141.4333,68.0,19,17,8.05
188,Plattsburgh,US,2021-01-19 17:47:00,44.6995,-73.4529,23.0,79,75,5.28
189,La Ronge,CA,2021-01-19 17:47:01,55.1001,-105.2842,14.0,85,100,8.05
190,Inongo,CD,2021-01-19 17:47:01,-1.95,18.2667,76.93,81,51,4.47
191,Bengkulu,ID,2021-01-19 17:42:03,-3.8004,102.2655,76.3,84,38,4.32
192,Meulaboh,ID,2021-01-19 17:47:02,4.1363,96.1285,76.15,88,99,4.52
193,East London,ZA,2021-01-19 17:47:02,-33.0153,27.9116,75.2,78,40,24.16
194,Dunedin,NZ,2021-01-19 17:47:02,-45.8742,170.5036,53.01,53,37,10.69
195,Evensk,RU,2021-01-19 17:47:02,61.95,159.2333,-13.4,74,0,11.21
196,Lompoc,US,2021-01-19 17:47:02,34.6391,-120.4579,60.01,81,15,0.94
197,Hirado,JP,2021-01-19 17:47:02,33.3597,129.5531,39.0,64,0,8.01
198,Lujan,AR,2021-01-19 17:44:05,-34.5703,-59.105,89.01,37,0,1.01
199,Kovdor,RU,2021-01-19 17:47:02,67.5662,30.4758,5.59,96,97,4.94
200,Lakeway,US,2021-01-19 17:47:03,30.3638,-97.9796,66.99,87,100,0.96
201,Baruun-Urt,MN,2021-01-19 17:47:03,46.6806,113.2792,1.38,90,21,17.31
202,Krasnozerskoye,RU,2021-01-19 17:47:03,53.9828,79.2374,-15.9,88,13,4.14
203,Cancuc,MX,2021-01-19 17:47:03,16.9167,-92.4833,77.0,57,40,4.61
204,Byron Bay,AU,2021-01-19 17:46:27,-28.65,153.6167,75.2,69,90,12.66
205,Codrington,AU,2021-01-19 17:47:03,-38.2667,141.9667,47.12,90,0,5.08
206,Vacha,RU,2021-01-19 17:47:03,55.8008,42.7706,2.8,95,100,3.0
207,Mar Del Plata,AR,2021-01-19 17:47:03,-38.0023,-57.5575,75.2,60,0,9.22
208,Moyale,KE,2021-01-19 17:47:03,3.5167,39.0584,77.79,27,100,10.85
209,Yaguaron,PY,2021-01-19 17:47:04,-25.6,-57.3,86.0,54,75,6.91
210,Port Pirie,AU,2021-01-19 17:47:04,-33.1833,138.0167,64.4,82,18,9.22
211,Mangrol,IN,2021-01-19 17:47:04,21.1167,70.1167,68.32,44,0,14.03
212,Bambanglipuro,ID,2021-01-19 17:47:04,-7.95,110.2833,75.94,89,100,5.53
213,Thessalon,CA,2021-01-19 17:47:04,46.2501,-83.5666,24.8,58,90,9.22
214,Aitape,PG,2021-01-19 17:47:04,-3.1374,142.3475,77.74,84,96,1.74
215,Chicama,PE,2021-01-19 17:47:04,-7.8447,-79.1469,69.8,83,92,10.36
216,Richards Bay,ZA,2021-01-19 17:47:04,-28.783,32.0377,75.34,70,0,12.66
217,Lesozavodsk,RU,2021-01-19 17:47:04,45.4794,133.4244,-17.41,83,0,7.0
218,Bandarbeyla,SO,2021-01-19 17:47:05,9.4942,50.8122,74.79,76,76,20.09
219,Tezu,IN,2021-01-19 17:47:05,27.9167,96.1667,58.37,71,97,3.83
220,Aklavik,CA,2021-01-19 17:47:05,68.2191,-135.0107,-0.4,78,75,17.27
221,Prado,BR,2021-01-19 17:47:05,-17.3411,-39.2208,82.11,63,27,9.24
222,Sherbakul,RU,2021-01-19 17:47:05,54.6316,72.3963,-14.8,76,55,2.24
223,Port Alfred,ZA,2021-01-19 17:47:05,-33.5906,26.891,66.99,95,50,5.01
224,Baisha,CN,2021-01-19 17:47:05,26.5222,110.9311,49.71,51,0,2.35
225,Balkanabat,TM,2021-01-19 17:47:05,39.5108,54.3671,47.84,57,52,3.49
226,Tengushevo,RU,2021-01-19 17:47:05,54.7686,42.7189,2.89,94,100,4.43
227,Agadez,NE,2021-01-19 17:47:06,19.75,10.25,61.05,27,0,8.59
228,Thompson,CA,2021-01-19 17:47:06,55.7435,-97.8558,-16.6,83,75,5.75
229,Barentu,ER,2021-01-19 17:47:06,15.1139,37.5928,62.4,71,23,5.86
230,Severobaykalsk,RU,2021-01-19 17:47:06,55.65,109.3167,1.26,86,69,6.82
231,Khlevnoye,RU,2021-01-19 17:47:06,52.1951,39.0932,3.2,85,90,6.71
232,Gijon,ES,2021-01-19 17:47:07,43.5357,-5.6615,54.0,62,20,4.61
233,Fonte Boa,BR,2021-01-19 17:47:07,-2.4959,-66.2662,77.83,80,86,1.66
234,Almaznyy,RU,2021-01-19 17:47:08,48.0448,40.045,3.2,78,0,6.71
235,Nemuro,JP,2021-01-19 17:47:08,43.3236,145.575,15.49,87,13,22.37
236,Sungaipenuh,ID,2021-01-19 17:47:08,-2.0833,101.3833,64.45,95,86,3.2
237,Shingu,JP,2021-01-19 17:47:08,33.7333,135.9833,31.5,90,0,6.89
238,Aswan,EG,2021-01-19 17:47:08,24.0934,32.907,58.35,35,95,10.0
239,Haines Junction,CA,2021-01-19 17:47:09,60.7522,-137.5108,30.2,74,100,3.44
240,San Ramon,US,2021-01-19 17:46:46,37.7799,-121.978,55.99,20,1,24.16
241,Santa Maria,BR,2021-01-19 17:44:50,-29.6842,-53.8069,82.4,44,0,14.97
242,Kosh-Agach,RU,2021-01-19 17:47:09,50.0,88.6667,1.92,77,2,1.3
243,Vengerovo,RU,2021-01-19 17:47:09,55.6848,76.7471,-18.76,86,0,4.12
244,Wattegama,LK,2021-01-19 17:47:10,6.7989,81.4808,72.39,94,59,3.91
245,Abnub,EG,2021-01-19 17:47:10,27.2696,31.1511,59.0,51,0,17.27
246,Baoding,CN,2021-01-19 17:47:10,38.8511,115.4903,19.44,90,0,4.09
247,Qaanaaq,GL,2021-01-19 17:47:10,77.484,-69.3632,1.2,73,54,8.52
248,Nome,US,2021-01-19 17:45:54,64.5011,-165.4064,-2.2,78,1,20.71
249,Poopo,BO,2021-01-19 17:47:10,-18.3667,-66.9667,60.8,44,40,0.74
250,Fortuna,US,2021-01-19 17:47:10,40.5982,-124.1573,50.0,70,1,3.44
251,Sao Joao Da Barra,BR,2021-01-19 17:47:10,-21.6403,-41.0511,87.8,51,0,18.41
252,Kaitangata,NZ,2021-01-19 17:47:11,-46.2817,169.8464,48.0,61,76,5.99
253,Dzheyrakh,RU,2021-01-19 17:47:11,42.8228,44.6756,26.6,86,33,11.18
254,Cayenne,GF,2021-01-19 17:47:11,4.9333,-52.3333,86.0,62,75,13.8
255,Muros,ES,2021-01-19 17:47:11,42.7762,-9.0603,53.01,85,100,25.99
256,Galle,LK,2021-01-19 17:47:11,6.0367,80.217,76.82,88,30,9.13
257,Sakakah,SA,2021-01-19 17:47:11,29.9697,40.2064,55.4,35,0,5.75
258,Deputatskiy,RU,2021-01-19 17:47:12,69.3,139.9,-36.71,85,52,0.6
259,Riverton,US,2021-01-19 17:45:12,40.5219,-111.9391,37.0,51,1,3.44
260,Balkhash,KZ,2021-01-19 17:47:12,46.844,74.9804,18.3,94,97,3.94
261,Mogadishu,SO,2021-01-19 17:47:12,2.0371,45.3438,77.32,72,84,22.97
